Team	Service	When to use	Action	Method	Endpoint or Topic	Request Data	Response / Effect	Description	Status	Noted
Sales		ดึง booking detail เพื่อประกอบและตรวจสอบความถูกต้อง ตอนร่างสัญญา	REST outbound (Legal calls)	GET	(TBD - ขอ URL จากทีม Sales) เช่น https://sales-service.../api/bookings/{bookingId}/full	Path: bookingId (UUID)	{"bookingId":<UUID>,"bookingDate":<ISO8601>,"depositPaid":<number>,"agentId":<UUID>,"customer":{"customerId":<UUID>,"firstName":<string>,"lastName":<string>,"nationalId":<string>,"address":<string>,"phone":<string>,"email":<string>},"unit":{"unitId":<UUID>}}	ดึง booking detail (ลำดับงวดเงิน, agent, วันที่จอง, ข้อมูลลูกค้า) → ขอ URL + schema จากทีม Sales (ถ้าทีม Sales อยากแยก endpoint เป็น 2 ตัวก็ได้)	In Progress	Outbound TBD (รอ Sales ตอบ)
	contract-service	ทุกครั้งที่ booking confirmed	Publish event	Kafka	booking.order.confirmed	{"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>}	Legal สร้างร่างสัญญาแล้ว publish contract.drafted	ส่ง event ให้ Legal เริ่มกระบวนการร่างสัญญาจะซื้อจะขาย	In Progress	Optional (ไม่ระบุใน flow ใหม่ — ใช้ trigger Flow 2)
	contract-service	อยากดูสถานะสัญญาเฉพาะ id	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts/{id}	Path: id (UUID)	200 OK + Contract object | 404 Not Found	อ่านข้อมูลสัญญาแบบเฉพาะเจาะจง	Done	สามารถยิงทดสอบได้แล้ว (Optional)
	contract-service	อยากดูสัญญาทั้งหมดของลูกค้าคนหนึ่ง	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts?customerId={uuid}	Query: customerId (UUID)	200 OK + Contract[]	list สัญญาของลูกค้าใช้แสดงในหน้า profile หรือ history	Done	สามารถยิงทดสอบได้แล้ว (Optional)
	contract-service	หลัง booking confirmed Legal ร่างสัญญาเบื้องต้นเสร็จ	Subscribe event	Kafka	willing.contract.drafted	{"willingContractId":<UUID>,"contractId":<UUID>,"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"fileUrl":<string>,"draftedAt":<ISO8601>}	ใช้ส่งสัญญาจะซื้อจะขายให้ลูกค้าเซ็น	Subscribe เพื่อรับสัญญาจะซื้อจะขายไปประสานลูกค้า	In Progress	Required (Flow 2)
Property Verification	contract-service	เมื่อ Legal สร้างร่างสัญญาเสร็จ	Subscribe event	Kafka	contract.drafted	{"contractId":<UUID>,"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"status":"DRAFT","fileUrl":<string>,"templateId":<UUID>,"createdAt":<ISO8601>,"draftedAt":<ISO8601>}	ใช้ data ไปตรวจ title deed ต่อ	Subscribe topic เพื่อรับร่างสัญญาที่ Legal สร้างขึ้นมาตรวจ title deed	In Progress	Optional (ไม่ระบุใน flow ใหม่)
Inventory		ตอนร่างสัญญา ต้องดึงข้อมูล unit detail ใส่เอกสาร	REST outbound (Legal calls)	GET	(TBD - ขอ URL จากทีม Inventory) เช่น https://inventory-service.../api/units/{unitId}	Path: unitId (UUID)	{"unitId":<UUID>,"address":<string>,"areaSqm":<number>,"price":<number>,"projectId":<UUID>,"unitType":<string>,"floorNumber":<number>}	ดึงรายละเอียด unit (ที่อยู่, ขนาด, ราคา) ใส่ในร่างสัญญา → ขอ URL + schema จากทีม Inventory	In Progress	Outbound TBD (รอ Inventory ตอบ)
		ตอนตรวจ warranty ดูว่า defect category ตรงกับ scope ของ unit ไหม	REST outbound (Legal calls)	GET	(TBD - ขอ URL จากทีม Inventory) เช่น https://inventory-service.../api/units/{unitId}/specs	Path: unitId (UUID)	{"unitId":<UUID>,"buildYear":<number>,"materials":<string[]>,"hasElectrical":<boolean>,"hasPlumbing":<boolean>,"applianceList":<string[]>}	ดึง specs ของ unit เพื่อใช้ตรวจ warranty coverage → ขอ URL + schema จากทีม Inventory	In Progress	Outbound TBD (รอ Inventory ตอบ)
	acquisition-service	หลัง survey property เสร็จ	Publish event	Kafka	ceo.property.survey.completed	{"surveyId":<UUID>,"propertyId":<UUID>,"address":<string>,"areaSqm":<number>,"estimatedValue":<number>,"zoneType":<string>,"sellerId":<UUID>,"sellerName":<string>,"sellerContact":<string>}	Legal เปิด Acquisition แล้ว publish acquisition.approval.requested ขอ CEO อนุมัติ	แจ้ง Legal ว่ามี property ที่จะเข้าซื้อ พร้อมข้อมูล survey และผู้ขาย	In Progress	Required (Flow 1)
	acquisition-service	เมื่อ Legal ร่าง willing contract เสร็จ	Subscribe event	Kafka	acquisition.contract.drafted	{"acquisitionId":<UUID>,"willingContractId":<UUID>,"propertyId":<UUID>,"fileUrl":<string>,"agreedPrice":<number>,"templateId":<UUID>,"draftedAt":<ISO8601>}	ใช้ data ไป register property + settle price	Subscribe topic เพื่อรับ willing contract ไปลงทะเบียน property และตั้งราคา	In Progress	Optional (ไม่ระบุใน flow ใหม่)
	acquisition-service	อยากเช็คสถานะ acquisition	REST query	GET	https://acquisition-service.onrender.com/api/acquisitions/{id}	Path: id (UUID)	200 OK + Acquisition object | 404 Not Found	อ่านข้อมูล acquisition ตาม id	Done	สามารถยิงทดสอบได้แล้ว (Optional)
